[14546.899782] [     2] CPU = 0, type = Kernel, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = kthreadd
[14547.505136] [  4421] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = rpcd
[14547.516948] [  5966] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = netifd
[14547.528933] [  5987] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = odhcpd
[14547.540919] [  6077] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = dropbear
[14547.553079] [  6116] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = provision_serve
[14547.565848] [  6588] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = dnsmasq
[14547.577921] [  6786] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = nbrd
[14547.601287] [  7044] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = nginx
[14547.613191] [  7135] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = gspcap
[14547.625180] [  7220] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = fiofcgi
[14547.637254] [  7354] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = controller
[14547.649590] [  7415] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = nginx
[14547.661490] [  7416] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = nginx
[14547.673397] [  7417] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = nginx
[14547.685297] [  7467] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = exe
[14547.697024] [  7821] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = udhcpc
[14547.721176] [  7961] CPU = 1, type =   User, prio = 105, nice = -15, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = ntpd
[14547.732990] [  8082] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = monitor.sh
[14547.745325] [  8880] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = gsxdp
[14547.757226] [  8997] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = mwan3rtmon
[14547.769562] [  8998] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = mwan3rtmon
[14547.781898] [  9043] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = ip
[14547.793536] [  9044] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = mwan3rtmon
[14547.805871] [  9046] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = ip
[14547.817514] [  9047] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = mwan3rtmon
[14547.829847] [ 10156] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = sg
[14547.841489] [ 10183] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = ubus_notificati
[14547.854257] [  8179] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = crond
[14547.958765] [  1814] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = sleep
[14547.970666] [  2054] CPU = 1, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_RUNNING,       name = insmod
[14547.982130] [  2089] CPU = 0, type =   User, prio = 120, nice =   0, policy = SCHED_NORMAL, state = TASK_INTERRUPTIBLE, name = sleep
